IP,NETNAME,ORGANIZATION,COUNTRY,DNS RESOLVE
2.22.61.43,AKAMAI-PA,Akamai Technologies,EU,
2.22.61.66,AKAMAI-PA,Akamai Technologies,EU,
13.107.3.128,MSFT,Microsoft Corporation (MSFT),US,
13.107.4.50,MSFT,Microsoft Corporation (MSFT),US,
13.107.5.88,MSFT,Microsoft Corporation (MSFT),US,
23.57.107.27,AIBV,Akamai International. BV (AIB-17),NL,a23-57-107-27.deploy.static.akamaitechnologies.com
23.57.107.163,AIBV,Akamai International. BV (AIB-17),NL,a23-57-107-163.deploy.static.akamaitechnologies.com
23.57.101.163,AIBV,Akamai International. BV (AIB-17),NL,a23-57-101-163.deploy.static.akamaitechnologies.com
23.99.10.11,MSFT,Microsoft Corporation (MSFT),US,
23.102.21.4,MSFT,Microsoft Corporation (MSFT),US,
23.103.182.126,MSFT,Microsoft Corporation (MSFT),US,
23.103.189.158,MSFT,Microsoft Corporation (MSFT),US,
23.218.212.69,AKAMAI,Akamai Technologies. Inc. (AKAMAI),US,a23-218-212-69.deploy.static.akamaitechnologies.com
23.223.20.82,AIBV,Akamai International. BV (AIB-17),NL,a23-223-20-82.deploy.static.akamaitechnologies.com
40.113.8.255,MSFT,Microsoft Corporation (MSFT),US,
40.113.22.47,MSFT,Microsoft Corporation (MSFT),US,
64.4.6.100,MICROSOFT,Microsoft Corporation (MSFT),US,microsoftsurfacehub.co.in
64.4.23.0-64.4.23.255 (64.4.23.1),MICROSOFT,Microsoft Corporation (MSFT),US,
64.4.23.0-64.4.23.255 (64.4.23.2),MICROSOFT,Microsoft Corporation (MSFT),US,po31-149.by2-6nx-sup-1a.ntwk.msn.net
64.4.23.0-64.4.23.255 (64.4.23.3),MICROSOFT,Microsoft Corporation (MSFT),US,po31-149.by2-6nx-sup-1b.ntwk.msn.net
64.4.23.0-64.4.23.255 (64.4.23.4),MICROSOFT,Microsoft Corporation (MSFT),US,
