From: 2016.05.29 20:34:34
To: 2016.06.03 15:15:27

DATE,EXE,PID,ACCOUNT,HOST
2016.05.29 20:34:34,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:34:48,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:34:48,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:35:09,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:35:52,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:36:34,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:36:46,svchost.exe,1316,System,v10.vortex-win.data.microsoft.com
2016.05.29 20:36:46,svchost.exe,1316,System,v10.vortex-win.data.microsoft.com
2016.05.29 20:37:04,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:37:48,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:38:31,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:39:10,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:39:47,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:40:22,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:41:06,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:41:42,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:42:19,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:43:02,Explorer.EXE,2052,,oem.twimg.com
2016.05.29 20:43:02,Explorer.EXE,2052,,cdn.content.prod.cms.msn.com
2016.05.29 20:43:02,Explorer.EXE,2052,,candycrushsoda.king.com
2016.05.29 20:43:02,Explorer.EXE,2052,,oem.twimg.com
2016.05.29 20:43:02,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:43:02,Explorer.EXE,2052,,cdn.content.prod.cms.msn.com
2016.05.29 20:43:02,Explorer.EXE,2052,,cdn.content.prod.cms.msn.com
2016.05.29 20:43:02,Explorer.EXE,2052,,candycrushsoda.king.com
2016.05.29 20:43:02,Explorer.EXE,2052,,cdn.content.prod.cms.msn.com
2016.05.29 20:43:03,Explorer.EXE,2052,,tile-service.weather.microsoft.com
2016.05.29 20:43:03,Explorer.EXE,2052,,tile-service.weather.microsoft.com
2016.05.29 20:43:11,svchost.exe,1316,System,v10.vortex-win.data.microsoft.com
2016.05.29 20:43:11,svchost.exe,1316,System,v10.vortex-win.data.microsoft.com
2016.05.29 20:43:36,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:44:08,svchost.exe,1004,System,wpad
2016.05.29 20:44:19,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:44:59,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:45:31,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:46:13,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:46:55,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:47:30,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:47:47,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:47:47,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:47:47,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:47:47,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:47:47,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:47:47,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:48:03,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:48:44,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:49:26,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:49:48,svchost.exe,1316,System,settings-win.data.microsoft.com
