From: 2016.05.29 20:34:34
To: 2016.06.03 15:15:27

HOST,COUNT
ssw.live.com,11016
win10.ipv6.microsoft.com,11013
settings-win.data.microsoft.com,3593
cdn.content.prod.cms.msn.com,1356
v10.vortex-win.data.microsoft.com,937
wpad,693
oem.twimg.com,454
tile-service.weather.microsoft.com,448
tlu.dl.delivery.mp.microsoft.com,126
isatap,119
au.v4.download.windowsupdate.com,74
dl.delivery.mp.microsoft.com,72
login.live.com,58
fe3.delivery.mp.microsoft.com,38
sls.update.microsoft.com,38
licensing.mp.microsoft.com,34
fe2.update.microsoft.com,31
v4.download.windowsupdate.com,30
tsfe.trafficshaping.dsp.mp.microsoft.com,26
go.microsoft.com,25
img-s-msn-com.akamaized.net,21
sway-cdn.com,15
ctldl.windowsupdate.com,14
candycrushsoda.king.com,12
oneclient.sfx.ms,8
g.live.com,8
DB5SCH101101810.wns.windows.com,7
s2.symcb.com,6
telecommand.telemetry.microsoft.com,6
client.wns.windows.com,6
DB5SCH103101512.wns.windows.com,5
settings.data.microsoft.com,4
watson.telemetry.microsoft.com,4
00210a-1.l.windowsupdate.com,4
pbs.twimg.com,3
officeclient.microsoft.com,3
169.254.177.157,3
DB5SCH101101541.wns.windows.com,3
DB5SCH101101724.wns.windows.com,3
ocsp.msocsp.com,2
dmd.metaservices.microsoft.com,2
191.232.139.88,2
device.auth.xboxlive.com,2
