From: 2016.05.29 20:34:34
To: 2016.06.03 15:15:27

DATE,EXE,PID,ACCOUNT,HOST
2016.05.29 20:34:34,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.05.29 20:34:48,svchost.exe,1316,System,settings-win.data.microsoft.com
2016.05.29 20:36:46,svchost.exe,1316,System,v10.vortex-win.data.microsoft.com
2016.05.29 20:39:06,OneDrive.exe,3784,,ssw.live.com
2016.05.29 20:43:02,Explorer.EXE,2052,,oem.twimg.com
2016.05.29 20:43:02,Explorer.EXE,2052,,cdn.content.prod.cms.msn.com
2016.05.29 20:43:02,Explorer.EXE,2052,,candycrushsoda.king.com
2016.05.29 20:43:03,Explorer.EXE,2052,,tile-service.weather.microsoft.com
2016.05.29 20:44:08,svchost.exe,1004,System,wpad
2016.05.29 21:32:47,svchost.exe,820,System,isatap
2016.05.29 22:32:47,svchost.exe,820,System,sls.update.microsoft.com
2016.05.29 22:32:47,svchost.exe,820,,sls.update.microsoft.com
2016.05.29 22:32:49,svchost.exe,820,System,fe2.update.microsoft.com
2016.05.29 22:32:49,svchost.exe,820,,fe2.update.microsoft.com
2016.05.29 22:32:50,svchost.exe,820,System,v4.download.windowsupdate.com
2016.05.29 22:32:50,svchost.exe,820,,v4.download.windowsupdate.com
2016.05.29 22:34:20,svchost.exe,820,System,au.v4.download.windowsupdate.com
2016.05.29 23:26:42,svchost.exe,820,System,fe3.delivery.mp.microsoft.com
2016.05.29 23:26:42,svchost.exe,820,,fe3.delivery.mp.microsoft.com
2016.05.29 23:26:46,svchost.exe,820,System,tsfe.trafficshaping.dsp.mp.microsoft.com
2016.05.29 23:26:46,svchost.exe,820,System,dl.delivery.mp.microsoft.com
2016.05.29 23:26:51,svchost.exe,820,System,tlu.dl.delivery.mp.microsoft.com
2016.05.30 02:02:50,svchost.exe,820,System,login.live.com
2016.05.30 02:03:51,svchost.exe,648,System,ctldl.windowsupdate.com
2016.05.30 02:17:46,wermgr.exe,4144,System,watson.telemetry.microsoft.com
2016.05.30 02:52:07,Explorer.EXE,2052,,sway-cdn.com
2016.05.30 04:09:59,CompatTelRunner.exe,936,System,settings-win.data.microsoft.com
2016.05.30 04:10:01,CompatTelRunner.exe,936,System,go.microsoft.com
2016.05.30 04:10:05,svchost.exe,820,System,device.auth.xboxlive.com
2016.05.30 18:32:44,OneDrive.exe,3784,,g.live.com
2016.05.30 18:32:44,OneDrive.exe,3784,,oneclient.sfx.ms
2016.05.30 18:32:44,OneDrive.exe,3784,,ocsp.msocsp.com
2016.05.30 19:00:39,CompatTelRunner.exe,2192,System,telecommand.telemetry.microsoft.com
2016.05.30 19:00:42,dmclient.exe,4676,System,settings.data.microsoft.com
2016.05.30 20:33:54,svchost.exe,820,System,s2.symcb.com
2016.05.30 20:33:54,svchost.exe,1004,System,licensing.mp.microsoft.com
2016.05.30 20:33:54,svchost.exe,1004,,licensing.mp.microsoft.com
2016.05.30 22:32:02,svchost.exe,820,,login.live.com
2016.05.30 23:36:33,sihclient.exe,1664,System,sls.update.microsoft.com
2016.06.01 14:08:24,Explorer.EXE,2052,,191.232.139.88
2016.06.01 14:10:48,Explorer.EXE,2052,,DB5SCH101101810.wns.windows.com
2016.06.01 15:01:10,svchost.exe,820,,s2.symcb.com
2016.06.01 15:01:14,Explorer.EXE,2052,,client.wns.windows.com
2016.06.01 15:01:15,Explorer.EXE,2052,,DB5SCH103101512.wns.windows.com
2016.06.01 15:02:10,svchost.exe,648,,ctldl.windowsupdate.com
2016.06.01 22:00:24,Explorer.EXE,2052,,DB5SCH101101724.wns.windows.com
2016.06.01 23:10:25,Explorer.EXE,2052,,DB5SCH101101541.wns.windows.com
2016.06.01 23:18:41,svchost.exe,1004,System,169.254.177.157
2016.06.02 01:16:02,svchost.exe,820,System,img-s-msn-com.akamaized.net
2016.06.02 01:16:11,svchost.exe,820,,img-s-msn-com.akamaized.net
2016.06.02 01:17:10,svchost.exe,820,System,pbs.twimg.com
2016.06.02 01:17:14,svchost.exe,820,,pbs.twimg.com
2016.06.02 01:36:08,svchost.exe,820,System,go.microsoft.com
2016.06.02 01:36:08,svchost.exe,820,System,dmd.metaservices.microsoft.com
2016.06.02 20:42:57,svchost.exe,820,System,00210a-1.l.windowsupdate.com
2016.06.03 14:46:34,svchost.exe,820,System,officeclient.microsoft.com
