From: 2016-05-29 18:32:47.857
To: 2016-06-03 12:45:24.362

DATE,PROCESS,USER,PROTOCOL,SRC_IP,SRC_PORT,SRC_PORT_NAME,DEST_IP,DEST_PORT,DEST_PORT_NAME
2016-05-29 18:32:47.857,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58042,,239.255.255.250,3702,ws-discovery
2016-05-29 18:32:47.857,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58042,,239.255.255.250,3702,ws-discovery
2016-05-29 18:32:48.202,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58045,,239.255.255.250,1900,ssdp
2016-05-29 18:32:48.202,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58046,,239.255.255.250,1900,ssdp
2016-05-29 18:32:48.230,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58047,,239.255.255.250,3702,ws-discovery
2016-05-29 18:32:48.230,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58047,,239.255.255.250,3702,ws-discovery
2016-05-29 18:32:48.509,C:\Windows\System32\dasHost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58049,,239.255.255.250,3702,ws-discovery
2016-05-29 18:32:48.509,C:\Windows\System32\dasHost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58049,,239.255.255.250,3702,ws-discovery
2016-05-29 18:32:49.131,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,tcp,MyComputer,49673,,msnbot-191-232-139-7.search.msn.com,443,https
2016-05-29 18:32:49.439,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,239.255.255.250,137,netbios-ns
2016-05-29 18:33:54.226,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,tcp,MyComputer,49680,,msnbot-191-232-139-7.search.msn.com,443,https
2016-05-29 18:33:54.442,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49682,,msnbot-191-232-139-49.search.msn.com,443,https
2016-05-29 18:33:54.549,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49683,,candycrushsoda.king.com,80,http
2016-05-29 18:33:54.691,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49684,,msnbot-191-232-139-88.search.msn.com,443,https
2016-05-29 18:33:54.692,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49685,,a104-71-200-228.deploy.static.akamaitechnologies.com,80,http
2016-05-29 18:33:54.747,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49686,,a104-71-200-228.deploy.static.akamaitechnologies.com,443,https
2016-05-29 18:33:54.899,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49687,,104.244.43.167,443,https
2016-05-29 18:33:55.215,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49688,,a184-87-220-86.deploy.static.akamaitechnologies.com,80,http
2016-05-29 18:33:55.410,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,MyComputer\user,tcp,MyComputer,49689,,a-0001.a-msedge.net,443,https
2016-05-29 18:33:55.535,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,104.244.43.167,137,netbios-ns
2016-05-29 18:36:46.142,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49690,,eu.vortex.data.microsoft.com,443,https
2016-05-29 18:43:02.924,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49691,,104.244.43.39,443,https
2016-05-29 18:43:03.019,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49693,,candycrushsoda.king.com,80,http
2016-05-29 18:43:03.074,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49695,,a184-87-220-86.deploy.static.akamaitechnologies.com,80,http
2016-05-29 18:43:03.925,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,104.244.43.39,137,netbios-ns
2016-05-29 18:43:05.485,C:\Windows\System32\backgroundTaskHost.exe,MyComputer\user,tcp,MyComputer,49696,,a104-101-172-250.deploy.static.akamaitechnologies.com,443,https
2016-05-29 18:43:10.915,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7012.23531.0_x64__8wekyb3d8bbwe\HubTaskHost.exe,MyComputer\user,tcp,MyComputer,49697,,13.107.5.88,443,https
2016-05-29 18:43:10.915,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7012.23531.0_x64__8wekyb3d8bbwe\HubTaskHost.exe,MyComputer\user,tcp,MyComputer,49698,,13.107.3.128,443,https
2016-05-29 18:43:11.035,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,13.107.3.128,137,netbios-ns
2016-05-29 18:43:11.040,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,13.107.5.88,137,netbios-ns
2016-05-29 18:43:12.010,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49700,,eu.vortex.data.microsoft.com,443,https
2016-05-29 18:43:12.043,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7012.23531.0_x64__8wekyb3d8bbwe\HubTaskHost.exe,MyComputer\user,tcp,MyComputer,49699,,23.99.116.116,443,https
2016-05-29 18:43:13.106,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,23.99.116.116,137,netbios-ns
2016-05-29 18:43:13.596,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7012.23531.0_x64__8wekyb3d8bbwe\HubTaskHost.exe,MyComputer\user,tcp,MyComputer,49701,,168.61.146.25,443,https
2016-05-29 18:43:14.080,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,168.61.146.25,137,netbios-ns
2016-05-29 18:53:54.935,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49703,,eu.vortex.data.microsoft.com,443,https
2016-05-29 18:59:25.309,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49705,,104.244.43.39,443,https
2016-05-29 19:11:44.489,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49711,,eu.vortex.data.microsoft.com,443,https
2016-05-29 19:17:44.092,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49712,,a184-87-220-86.deploy.static.akamaitechnologies.com,80,http
2016-05-29 19:17:44.228,C:\Windows\System32\backgroundTaskHost.exe,MyComputer\user,tcp,MyComputer,49713,,a23-38-7-222.deploy.static.akamaitechnologies.com,443,https
2016-05-29 19:32:44.083,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49716,,104.244.43.199,443,https
2016-05-29 19:32:44.731,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49720,,eu.vortex.data.microsoft.com,443,https
2016-05-29 19:32:45.222,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,104.244.43.199,137,netbios-ns
2016-05-29 19:47:44.106,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49723,,a23-214-143-15.deploy.static.akamaitechnologies.com,80,http
2016-05-29 19:47:47.630,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49724,,eu.vortex.data.microsoft.com,443,https
2016-05-29 20:02:44.101,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49726,,104.244.43.7,443,https
2016-05-29 20:02:45.105,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,104.244.43.7,137,netbios-ns
2016-05-29 20:02:48.504,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49730,,eu.vortex.data.microsoft.com,443,https
2016-05-29 20:17:44.144,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49732,,a23-214-143-15.deploy.static.akamaitechnologies.com,80,http
2016-05-29 20:17:44.477,C:\Windows\System32\backgroundTaskHost.exe,MyComputer\user,tcp,MyComputer,49733,,a23-38-7-222.deploy.static.akamaitechnologies.com,443,https
2016-05-29 20:17:48.610,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49734,,eu.vortex.data.microsoft.com,443,https
2016-05-29 20:32:44.121,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49736,,104.244.43.7,443,https
2016-05-29 20:32:47.706,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49740,,157.55.240.220,443,https
2016-05-29 20:32:48.488,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,157.55.240.220,137,netbios-ns
2016-05-29 20:32:48.761,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49741,,eu.vortex.data.microsoft.com,443,https
2016-05-29 20:32:49.937,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49742,,134.170.58.121,443,https
2016-05-29 20:32:50.493,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,134.170.58.121,137,netbios-ns
2016-05-29 20:32:50.846,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49743,,8.254.218.126,80,http
2016-05-29 20:32:50.901,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49744,,8.254.218.126,80,http
2016-05-29 20:32:51.596,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,8.254.218.126,137,netbios-ns
2016-05-29 20:34:18.868,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49746,,134.170.58.121,443,https
2016-05-29 20:34:19.752,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49747,,134.170.53.30,443,https
2016-05-29 20:34:19.898,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,134.170.53.30,137,netbios-ns
