From: 2016-05-29 18:32:47.857
To: 2016-06-03 12:45:24.362

HOST,COUNT
eu.vortex.data.microsoft.com,457
a184-87-220-86.deploy.static.akamaitechnologies.com,127
a23-38-7-222.deploy.static.akamaitechnologies.com,83
a23-35-118-135.deploy.static.akamaitechnologies.com,60
239.255.255.250,49
104.244.43.167,36
104.244.43.71,33
104.244.43.199,33
104.244.43.39,32
104.244.43.103,30
104.244.43.231,29
a23-206-41-169.deploy.static.akamaitechnologies.com,24
msnbot-191-232-139-7.search.msn.com,21
104.244.43.7,21
104.244.43.135,21
a23-206-7-161.deploy.static.akamaitechnologies.com,19
msnbot-191-232-139-2.search.msn.com,19
a23-214-143-15.deploy.static.akamaitechnologies.com,18
131.253.61.96,14
a23-214-64-233.deploy.static.akamaitechnologies.com,12
msnbot-191-232-139-170.search.msn.com,9
a92-122-51-57.deploy.akamaitechnologies.com,9
13.107.4.50,8
candycrushsoda.king.com,7
8.253.82.62,7
a104-101-172-250.deploy.static.akamaitechnologies.com,7
131.253.61.66,7
131.253.61.68,6
a104-71-200-228.deploy.static.akamaitechnologies.com,6
157.55.133.204,5
msnbot-207-46-194-14.search.msn.com,5
65.55.138.111,5
65.55.44.51,5
a-0001.a-msedge.net,5
157.56.77.139,4
157.55.240.220,4
134.170.53.30,4
a92-122-51-72.deploy.akamaitechnologies.com,4
131.253.61.84,4
134.170.115.62,4
134.170.165.253,3
131.253.61.98,3
13.107.3.128,3
msnbot-191-232-139-49.search.msn.com,3
131.253.61.82,3
131.253.61.80,3
191.234.72.190,3
13.107.5.88,3
https-87-248-214-1.lon.llnw.net,3
198.41.215.186,3
134.170.58.121,3
8.254.218.126,3
157.56.77.138,3
a23-214-35-31.deploy.static.akamaitechnologies.com,3
a23-55-155-27.deploy.static.akamaitechnologies.com,3
msnbot-207-46-194-33.search.msn.com,3
cds978.lon.llnw.net,3
131.253.61.100,3
65.55.113.11,2
198.41.214.183,2
169.254.177.157,2
a23-65-37-103.deploy.static.akamaitechnologies.com,2
msnbot-191-232-139-80.search.msn.com,2
a184-30-100-215.deploy.static.akamaitechnologies.com,2
134.170.51.190,2
104.214.35.244,2
23.99.116.116,2
a84-53-134-25.deploy.akamaitechnologies.com,2
168.61.146.25,2
134.170.178.97,2
a23-216-241-218.deploy.static.akamaitechnologies.com,2
134.170.51.247,2
23.97.209.97,2
msnbot-65-55-252-43.search.msn.com,2
msnbot-191-232-139-55.search.msn.com,2
msnbot-191-232-139-86.search.msn.com,2
66.119.144.158,2
msnbot-191-232-139-88.search.msn.com,2
a104-81-56-247.deploy.static.akamaitechnologies.com,2
msnbot-207-46-194-25.search.msn.com,1
a23-64-30-26.deploy.static.akamaitechnologies.com,1
a23-206-32-247.deploy.static.akamaitechnologies.com,1
msnbot-191-232-139-141.search.msn.com,1
