From: 2016-05-29 18:32:47.857
To: 2016-06-03 12:45:24.362

DATE,PROCESS,USER,PROTOCOL,SRC_IP,SRC_PORT,SRC_PORT_NAME,DEST_IP,DEST_PORT,DEST_PORT_NAME
2016-05-29 18:32:47.857,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58042,,239.255.255.250,3702,ws-discovery
2016-05-29 18:32:48.202,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58045,,239.255.255.250,1900,ssdp
2016-05-29 18:32:48.509,C:\Windows\System32\dasHost.exe,AUTORITE NT\SERVICE LOCAL,udp,MyComputer,58049,,239.255.255.250,3702,ws-discovery
2016-05-29 18:32:49.131,C:\Windows\System32\svchost.exe,AUTORITE NT\SERVICE LOCAL,tcp,MyComputer,49673,,msnbot-191-232-139-7.search.msn.com,443,https
2016-05-29 18:32:49.439,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,239.255.255.250,137,netbios-ns
2016-05-29 18:33:54.442,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49682,,msnbot-191-232-139-49.search.msn.com,443,https
2016-05-29 18:33:54.549,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49683,,candycrushsoda.king.com,80,http
2016-05-29 18:33:54.691,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49684,,msnbot-191-232-139-88.search.msn.com,443,https
2016-05-29 18:33:54.692,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49685,,a104-71-200-228.deploy.static.akamaitechnologies.com,80,http
2016-05-29 18:33:54.747,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49686,,a104-71-200-228.deploy.static.akamaitechnologies.com,443,https
2016-05-29 18:33:54.899,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49687,,104.244.43.167,443,https
2016-05-29 18:33:55.215,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49688,,a184-87-220-86.deploy.static.akamaitechnologies.com,80,http
2016-05-29 18:33:55.410,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,MyComputer\user,tcp,MyComputer,49689,,a-0001.a-msedge.net,443,https
2016-05-29 18:33:55.535,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,104.244.43.167,137,netbios-ns
2016-05-29 18:36:46.142,C:\Windows\System32\svchost.exe,AUTORITE NT\Système,tcp,MyComputer,49690,,eu.vortex.data.microsoft.com,443,https
2016-05-29 18:43:02.924,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49691,,104.244.43.39,443,https
2016-05-29 18:43:03.925,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,104.244.43.39,137,netbios-ns
2016-05-29 18:43:05.485,C:\Windows\System32\backgroundTaskHost.exe,MyComputer\user,tcp,MyComputer,49696,,a104-101-172-250.deploy.static.akamaitechnologies.com,443,https
2016-05-29 18:43:10.915,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7012.23531.0_x64__8wekyb3d8bbwe\HubTaskHost.exe,MyComputer\user,tcp,MyComputer,49697,,13.107.5.88,443,https
2016-05-29 18:43:10.915,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7012.23531.0_x64__8wekyb3d8bbwe\HubTaskHost.exe,MyComputer\user,tcp,MyComputer,49698,,13.107.3.128,443,https
2016-05-29 18:43:11.035,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,13.107.3.128,137,netbios-ns
2016-05-29 18:43:11.040,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,13.107.5.88,137,netbios-ns
2016-05-29 18:43:12.043,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7012.23531.0_x64__8wekyb3d8bbwe\HubTaskHost.exe,MyComputer\user,tcp,MyComputer,49699,,23.99.116.116,443,https
2016-05-29 18:43:13.106,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,23.99.116.116,137,netbios-ns
2016-05-29 18:43:13.596,C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_17.7012.23531.0_x64__8wekyb3d8bbwe\HubTaskHost.exe,MyComputer\user,tcp,MyComputer,49701,,168.61.146.25,443,https
2016-05-29 18:43:14.080,System,AUTORITE NT\Système,udp,MyComputer,137,netbios-ns,168.61.146.25,137,netbios-ns
2016-05-29 19:17:44.228,C:\Windows\System32\backgroundTaskHost.exe,MyComputer\user,tcp,MyComputer,49713,,a23-38-7-222.deploy.static.akamaitechnologies.com,443,https
2016-05-29 19:32:44.083,C:\Windows\explorer.exe,MyComputer\user,tcp,MyComputer,49716,,104.244.43.199,443,https
