DATE,EXE,PID,ACCOUNT,HOST
2016.06.06 23:00:09,svchost.exe,820,System,win10.ipv6.microsoft.com
2016.06.06 23:01:26,svchost.exe,820,System,pbs.twimg.com
2016.06.06 23:02:26,svchost.exe,1352,System,v10.vortex-win.data.microsoft.com
2016.06.06 23:02:43,svchost.exe,960,System,fe2.update.microsoft.com
2016.06.06 23:02:43,svchost.exe,960,,fe2.update.microsoft.com
2016.06.06 23:02:44,svchost.exe,960,System,v4.download.windowsupdate.com
2016.06.06 23:02:44,svchost.exe,960,,v4.download.windowsupdate.com
2016.06.06 23:02:54,svchost.exe,960,System,fg.v4.download.windowsupdate.com
2016.06.06 23:03:10,svchost.exe,976,System,wpad
2016.06.06 23:03:44,svchost.exe,960,System,officeclient.microsoft.com
2016.06.03 17:56:12,Wireshark.exe,2312,,ocsp.trust-provider.com
2016.06.03 17:56:12,Wireshark.exe,2312,,ocsp.comodoca4.com
2016.06.03 17:56:19,svchost.exe,792,System,login.live.com
2016.06.03 17:56:19,svchost.exe,792,,login.live.com
2016.06.03 17:56:29,Explorer.EXE,2676,,client.wns.windows.com
2016.06.03 17:56:29,Explorer.EXE,2676,,db5sch101101939.wns.windows.com
2016.06.03 18:01:08,OneDrive.exe,3840,,ssw.live.com
2016.06.03 18:02:42,svchost.exe,792,System,sls.update.microsoft.com
2016.06.03 18:02:42,svchost.exe,792,,sls.update.microsoft.com
2016.06.03 18:04:17,svchost.exe,792,System,au.v4.download.windowsupdate.com
2016.06.03 18:04:17,svchost.exe,792,System,0024b5-1.l.windowsupdate.com
2016.06.03 18:06:36,Explorer.EXE,2676,,tile-service.weather.microsoft.com
2016.06.03 18:06:36,Explorer.EXE,2676,,cdn.content.prod.cms.msn.com
2016.06.03 18:06:36,Explorer.EXE,2676,,sway-cdn.com
2016.06.03 18:06:36,Explorer.EXE,2676,,oem.twimg.com
2016.06.03 18:06:36,Explorer.EXE,2676,,candycrushsoda.king.com
2016.06.03 18:10:48,svchost.exe,1292,System,settings-win.data.microsoft.com
2016.06.03 18:25:51,taskhostw.exe,804,System,ocsp.usertrust.com
2016.06.03 18:25:51,taskhostw.exe,804,,ocsp.usertrust.com
2016.06.03 18:25:52,taskhostw.exe,804,System,ocsp.comodoca.com
2016.06.03 18:25:52,taskhostw.exe,804,,ocsp.comodoca.com
2016.06.03 18:25:52,taskhostw.exe,804,System,ocsp.digicert.com
2016.06.03 18:25:52,taskhostw.exe,804,,ocsp.digicert.com
2016.06.03 18:32:46,OneDrive.exe,3840,,g.live.com
2016.06.03 18:32:46,OneDrive.exe,3840,,oneclient.sfx.ms
2016.06.03 18:32:47,OneDrive.exe,3840,,ocsp.msocsp.com
2016.06.03 18:55:48,svchost.exe,792,System,isatap
2016.06.03 19:30:31,svchost.exe,792,System,go.microsoft.com
2016.06.03 19:30:31,svchost.exe,792,System,dmd.metaservices.microsoft.com
2016.06.03 19:37:56,CompatTelRunner.exe,3124,System,telecommand.telemetry.microsoft.com
2016.06.03 19:37:56,svchost.exe,924,System,time.windows.com
2016.06.03 19:37:57,dmclient.exe,4028,System,settings.data.microsoft.com
2016.06.03 19:56:18,svchost.exe,792,System,img-s-msn-com.akamaized.net
2016.06.03 19:56:23,svchost.exe,792,,img-s-msn-com.akamaized.net
2016.06.03 19:56:27,svchost.exe,792,,pbs.twimg.com
2016.06.03 19:57:17,svchost.exe,792,System,store-images.s-microsoft.com
2016.06.03 19:57:21,svchost.exe,792,,store-images.s-microsoft.com
2016.06.03 22:13:52,svchost.exe,988,System,ctldl.windowsupdate.com
2016.06.04 01:15:04,svchost.exe,792,System,s2.symcb.com
2016.06.04 03:35:32,CompatTelRunner.exe,4484,System,settings-win.data.microsoft.com
2016.06.04 03:35:34,CompatTelRunner.exe,4484,System,go.microsoft.com
2016.06.04 03:35:38,svchost.exe,792,System,device.auth.xboxlive.com
2016.06.04 09:56:12,svchost.exe,792,System,fe3.delivery.mp.microsoft.com
2016.06.04 09:56:12,svchost.exe,792,,fe3.delivery.mp.microsoft.com
2016.06.04 18:19:33,wermgr.exe,1240,System,watson.telemetry.microsoft.com
2016.06.04 18:24:00,svchost.exe,820,System,001eee-1.l.windowsupdate.com
2016.06.04 19:04:01,PING.EXE,2196,,time.windows.com
2016.06.05 00:10:40,sihclient.exe,344,System,sls.update.microsoft.com
2016.06.05 12:54:59,Explorer.EXE,2836,,db5sch101100928.wns.windows.com
2016.06.05 12:57:38,Explorer.EXE,2836,,db5sch103082111.wns.windows.com
2016.06.05 18:17:06,svchost.exe,1004,System,licensing.mp.microsoft.com
2016.06.05 18:17:06,svchost.exe,1004,,licensing.mp.microsoft.com
2016.06.06 03:15:16,CompatTelRunner.exe,4384,System,compatexchange1.trafficmanager.net
2016.06.06 18:24:26,svchost.exe,820,System,002531-1.l.windowsupdate.com
