DATE,PROCESS,PROTOCOL,DEST_IP,DEST_PORT,DEST_PORT_NAME,ORGANIZATION,COUNTRY
2016-07-16 16:15:54.489,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-16 16:15:54.489,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,ssdp,,
2016-07-16 16:15:54.803,C:\Windows\Sysmon.exe,tcp,ocsp.comodoca.com,80,http,Comodo CA,GB
2016-07-16 16:15:54.895,C:\Windows\Sysmon.exe,tcp,ocsp.comodoca.com,80,http,Comodo CA,GB
2016-07-16 16:15:55.196,C:\Windows\Sysmon.exe,tcp,ocsp.comodoca.com,80,http,Comodo CA,GB
2016-07-16 16:15:57.224,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,93.184.220.29,80,http,AS15133 EdgeCast Networks. Inc.,US
2016-07-16 16:15:57.773,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-54-139-27.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:43.941,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,,,
2016-07-16 16:16:43.941,C:\Windows\System32\svchost.exe,udp,239.255.255.250,1900,,,
2016-07-16 16:16:44.317,C:\Windows\System32\svchost.exe,udp,239.255.255.250,3702,,,
2016-07-16 16:16:44.318,C:\Windows\System32\svchost.exe,udp,239.255.255.250,3702,,,
2016-07-16 16:16:45.085,C:\Windows\System32\svchost.exe,udp,239.255.255.250,3702,ws-discovery,,
2016-07-16 16:16:45.085,C:\Windows\System32\svchost.exe,udp,239.255.255.250,3702,ws-discovery,,
2016-07-16 16:16:45.096,C:\Windows\System32\dasHost.exe,udp,239.255.255.250,3702,ws-discovery,,
2016-07-16 16:16:45.096,C:\Windows\System32\dasHost.exe,udp,239.255.255.250,3702,ws-discovery,,
2016-07-16 16:16:45.721,C:\Windows\Sysmon.exe,tcp,93.184.220.29,80,http,AS15133 EdgeCast Networks. Inc.,US
2016-07-16 16:16:46.324,C:\Windows\Sysmon.exe,tcp,a23-54-139-27.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:54.271,C:\Windows\System32\svchost.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:55.458,C:\Windows\System32\svchost.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
2016-07-16 16:16:55.647,C:\Windows\System32\svchost.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:55.810,C:\Windows\System32\svchost.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
2016-07-16 16:16:55.980,C:\Windows\System32\svchost.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:56.134,C:\Windows\System32\svchost.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
2016-07-16 16:16:56.409,C:\Windows\explorer.exe,tcp,a23-206-41-10.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:56.409,C:\Windows\System32\svchost.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:56.639,C:\Windows\System32\svchost.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
2016-07-16 16:16:56.896,C:\Windows\System32\svchost.exe,tcp,msnbot-191-232-139-7.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:16:57.972,C:\Windows\explorer.exe,tcp,candycrushsoda.king.com,80,http,King,SE
2016-07-16 16:16:58.377,C:\Windows\explorer.exe,tcp,msnbot-191-232-139-141.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:16:58.473,C:\Windows\explorer.exe,tcp,a23-206-30-150.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:58.482,C:\Windows\System32\svchost.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:58.595,C:\Windows\explorer.exe,tcp,msnbot-191-232-139-127.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:16:58.607,C:\Windows\System32\svchost.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
2016-07-16 16:16:58.655,C:\Windows\System32\svchost.exe,tcp,msnbot-191-232-139-7.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:16:58.711,C:\Windows\explorer.exe,tcp,104.244.43.231,443,https,AS13414 Twitter Inc.,US
2016-07-16 16:16:58.748,C:\Windows\System32\svchost.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:16:58.934,C:\Windows\explorer.exe,tcp,a104-71-200-228.deploy.static.akamaitechnologies.com,80,http,Akamai International. BV (AIB-17),US
2016-07-16 16:16:58.953,C:\Windows\System32\svchost.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
2016-07-16 16:16:58.975,C:\Windows\explorer.exe,tcp,a104-71-200-228.deploy.static.akamaitechnologies.com,443,https,Akamai International. BV (AIB-17),US
2016-07-16 16:17:01.500,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,tcp,a-0001.a-msedge.net,443,https,Microsoft Corporation (MSFT),US
2016-07-16 16:17:02.614,C:\Windows\System32\svchost.exe,tcp,msnbot-191-232-139-7.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:17:54.045,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.139.254,443,https,AS8075 Microsoft Corporation,IE
2016-07-16 16:17:56.611,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-49.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:17:59.856,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-49.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:18:09.552,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-49.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:18:25.428,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-49.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:18:43.357,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-49.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:19:11.271,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-141.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:19:39.590,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,131.253.61.100,443,https,AS8075 Microsoft Corporation,US
2016-07-16 16:19:40.184,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-65-55-252-43.search.msn.com,443,https,Microsoft Corporation (MSFT),US
2016-07-16 16:19:47.057,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-141.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:20:36.555,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-141.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:21:29.182,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-141.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:21:53.960,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.139.254,443,https,AS8075 Microsoft Corporation,IE
2016-07-16 16:23:17.656,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-141.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:25:40.770,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.55.240.220,443,https,AS8075 Microsoft Corporation,US
2016-07-16 16:25:41.458,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.139.254,443,https,AS8075 Microsoft Corporation,IE
2016-07-16 16:25:42.938,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,66.119.144.158,443,https,AS8075 Microsoft Corporation,US
2016-07-16 16:25:50.408,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,msnbot-191-232-139-141.search.msn.com,443,https,Microsoft Informatica Ltda,BR
2016-07-16 16:26:44.294,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,66.119.144.158,443,https,AS8075 Microsoft Corporation,US
2016-07-16 16:26:44.610,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,191.237.208.126,443,https,AS8075 Microsoft Corporation,IE
2016-07-16 16:26:45.128,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.139.254,443,https,AS8075 Microsoft Corporation,IE
2016-07-16 16:26:48.232,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:26:48.309,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.55.240.220,443,https,AS8075 Microsoft Corporation,US
2016-07-16 16:26:48.376,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,a23-38-11-168.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:26:50.547,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,66.119.144.158,443,https,AS8075 Microsoft Corporation,US
2016-07-16 16:27:13.007,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,104.244.43.71,443,https,AS13414 Twitter Inc.,US
2016-07-16 16:27:13.057,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-206-30-150.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:27:13.114,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-206-30-150.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:27:13.421,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,candycrushsoda.king.com,80,http,King,SE
2016-07-16 16:27:13.682,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a104-71-200-228.deploy.static.akamaitechnologies.com,80,http,Akamai International. BV (AIB-17),US
2016-07-16 16:27:13.725,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-206-41-10.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:27:13.784,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a104-71-200-228.deploy.static.akamaitechnologies.com,443,https,Akamai International. BV (AIB-17),US
2016-07-16 16:27:15.207,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:27:15.368,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
2016-07-16 16:27:15.544,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:27:15.732,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
2016-07-16 16:27:15.854,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,tcp,a-0001.a-msedge.net,443,https,Microsoft Corporation (MSFT),US
2016-07-16 16:27:15.947,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,tcp,a-0001.a-msedge.net,443,https,Microsoft Corporation (MSFT),US
2016-07-16 16:27:16.747,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe,tcp,a-0001.a-msedge.net,443,https,Microsoft Corporation (MSFT),US
2016-07-16 16:27:17.051,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a23-206-7-161.deploy.static.akamaitechnologies.com,80,http,Akamai Technologies. Inc. (AKAMAI),NL
2016-07-16 16:27:17.172,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.113.12,80,http,AS8075 Microsoft Corporation,US
