HOST,COUNT
239.255.255.250,11658
224.0.0.252,10628
13.107.4.50,5770
eu.vortex.data.microsoft.com,3898
224.0.0.251,2446
all-systems.mcast.net,1207
msnbot-191-232-139-74.search.msn.com,1013
a23-38-7-222.deploy.static.akamaitechnologies.com,612
2.18.213.64,439
104.244.43.167,321
a23-74-86-135.deploy.static.akamaitechnologies.com,302
104.244.43.7,264
104.244.43.103,258
104.244.43.199,238
104.244.43.71,218
2.18.213.58,215
a23-35-118-135.deploy.static.akamaitechnologies.com,196
104.244.43.135,195
104.244.43.39,195
2.18.213.40,193
134.170.58.125,181
a104-101-172-250.deploy.static.akamaitechnologies.com,168
a184-87-220-86.deploy.static.akamaitechnologies.com,164
104.244.43.231,159
a23-214-64-233.deploy.static.akamaitechnologies.com,143
msnbot-191-232-139-2.search.msn.com,121
a23-214-143-15.deploy.static.akamaitechnologies.com,121
igmp.mcast.net,110
131.253.61.98,103
2.17.228.231,101
a92-122-51-58.deploy.akamaitechnologies.com,99
131.253.61.80,98
a88-221-117-42.deploy.akamaitechnologies.com,87
134.170.58.121,79
191.234.72.183,78
131.253.61.96,75
a104-96-43-242.deploy.static.akamaitechnologies.com,72
2.19.182.135,72
2.18.213.48,71
191.232.80.58,64
a92-122-51-57.deploy.akamaitechnologies.com,61
134.170.53.30,56
157.56.77.138,52
wn-in-f108.1e100.net,50
a23-62-137-113.deploy.static.akamaitechnologies.com,47
131.253.61.100,45
a23-216-245-248.deploy.static.akamaitechnologies.com,41
2.18.213.42,39
wl-in-f109.1e100.net,39
msnbot-191-232-139-7.search.msn.com,38
a23-64-38-237.deploy.static.akamaitechnologies.com,37
157.56.77.139,36
2.19.53.152,33
a104-71-200-228.deploy.static.akamaitechnologies.com,30
ocsp.comodoca.com,30
a184-30-100-215.deploy.static.akamaitechnologies.com,30
13.107.3.128,28
candycrushsoda.king.com,28
134.170.179.87,28
a23-2-118-135.deploy.static.akamaitechnologies.com,27
all-routers.mcast.net,26
2.18.213.152,26
40.113.8.255,26
207.46.153.155,25
a23-217-8-40.deploy.static.akamaitechnologies.com,23
a92-122-51-72.deploy.akamaitechnologies.com,22
a92-122-51-10.deploy.akamaitechnologies.com,21
199.16.156.8,20
a23-33-2-154.deploy.static.akamaitechnologies.com,20
65.55.138.111,20
198.41.215.185,18
msnbot-65-52-108-29.search.msn.com,18
2.18.213.201,16
198.41.214.186,15
a104-71-115-140.deploy.static.akamaitechnologies.com,14
msnbot-207-46-194-14.search.msn.com,14
a92-122-152-223.deploy.akamaitechnologies.com,14
a104-107-11-74.deploy.static.akamaitechnologies.com,13
a104-101-178-203.deploy.static.akamaitechnologies.com,13
a23-199-215-48.deploy.static.akamaitechnologies.com,13
a23-212-203-149.deploy.static.akamaitechnologies.com,13
199.16.156.43,12
a23-55-155-27.deploy.static.akamaitechnologies.com,11
edge-mqtt-shv-01-cdg2.facebook.com,11
a88-221-117-72.deploy.akamaitechnologies.com,11
a92-122-51-17.deploy.akamaitechnologies.com,11
169.254.41.242,10
a104-69-55-114.deploy.static.akamaitechnologies.com,10
a23-211-173-218.deploy.static.akamaitechnologies.com,10
wm-in-f109.1e100.net,10
169.254.164.175,5
a-0001.a-msedge.net,1
