DATE,EXE,PID,ACCOUNT,HOST
2016.06.04 21:37:49,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:38:30,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:39:06,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:39:45,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:40:29,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:41:05,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:41:49,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:42:20,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:42:56,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:43:29,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:44:06,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:44:40,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:45:21,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:45:57,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:46:35,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:47:11,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:47:42,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:48:13,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:48:57,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:49:36,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:50:08,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:50:47,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:51:30,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:52:08,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:52:50,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:53:24,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:53:59,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:54:39,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:55:19,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:55:51,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:56:30,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:57:07,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:57:48,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:58:32,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:59:11,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 21:59:46,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:00:27,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:01:03,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:01:43,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:02:25,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:03:09,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:03:51,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:04:26,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:05:04,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:05:47,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:05:52,svchost.exe,960,System,wpad
2016.06.04 22:05:55,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:05:55,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:06:00,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:06:00,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:06:00,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:06:17,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:06:26,svchost.exe,960,System,wpad
2016.06.04 22:06:29,svchost.exe,960,System,wpad
2016.06.04 22:06:32,svchost.exe,324,System,crl.microsoft.com
2016.06.04 22:06:32,svchost.exe,324,System,crl.microsoft.com
2016.06.04 22:06:32,svchost.exe,324,System,crl.microsoft.com
2016.06.04 22:06:32,svchost.exe,960,System,wpad
2016.06.04 22:06:35,svchost.exe,960,System,wpad
2016.06.04 22:06:38,svchost.exe,324,System,www.microsoft.com
2016.06.04 22:06:38,svchost.exe,324,System,www.microsoft.com
2016.06.04 22:06:38,svchost.exe,324,System,www.microsoft.com
2016.06.04 22:06:55,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:06:59,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:07:33,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:08:08,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:08:32,svchost.exe,324,System,crl.microsoft.com
2016.06.04 22:08:32,svchost.exe,324,System,www.microsoft.com
2016.06.04 22:08:49,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:09:21,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:09:57,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:10:37,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:11:21,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:11:57,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:12:28,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:13:04,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:13:48,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:14:29,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:15:11,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:15:46,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:16:23,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:17:06,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:17:45,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:18:26,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:18:57,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:19:42,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:20:20,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:20:58,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:21:31,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:22:16,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:22:56,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:23:30,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:24:14,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:24:50,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:25:28,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:26:11,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:26:51,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:27:22,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:27:54,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:28:29,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:29:14,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:29:59,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:30:38,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:31:21,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:32:02,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:32:32,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:33:16,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:34:00,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:34:42,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:35:24,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:35:51,svchost.exe,1132,System,vortex-win.data.microsoft.com
2016.06.04 22:35:51,svchost.exe,1132,System,vortex-win.data.microsoft.com
2016.06.04 22:35:51,svchost.exe,1132,System,vortex-win.data.microsoft.com
2016.06.04 22:35:56,svchost.exe,1132,System,vortex-win.data.microsoft.com
2016.06.04 22:35:56,svchost.exe,1132,System,vortex-win.data.microsoft.com
2016.06.04 22:35:56,svchost.exe,960,System,wpad
2016.06.04 22:35:56,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:35:56,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:35:56,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:35:56,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:35:56,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:35:56,svchost.exe,960,System,wpad
2016.06.04 22:36:07,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:36:22,svchost.exe,960,System,wpad
2016.06.04 22:36:25,svchost.exe,960,System,wpad
2016.06.04 22:36:28,svchost.exe,324,System,ctldl.windowsupdate.com
2016.06.04 22:36:28,svchost.exe,324,System,ctldl.windowsupdate.com
2016.06.04 22:36:28,svchost.exe,324,System,ctldl.windowsupdate.com
2016.06.04 22:36:28,svchost.exe,960,System,wpad
2016.06.04 22:36:31,svchost.exe,960,System,wpad
2016.06.04 22:36:34,svchost.exe,324,System,www.microsoft.com
2016.06.04 22:36:34,svchost.exe,324,System,www.microsoft.com
2016.06.04 22:36:34,svchost.exe,324,System,www.microsoft.com
2016.06.04 22:36:34,svchost.exe,960,System,wpad
2016.06.04 22:36:37,svchost.exe,960,System,wpad
2016.06.04 22:36:40,svchost.exe,324,System,crl.microsoft.com
2016.06.04 22:36:40,svchost.exe,324,System,crl.microsoft.com
2016.06.04 22:36:40,svchost.exe,324,System,crl.microsoft.com
2016.06.04 22:36:40,svchost.exe,960,System,wpad
2016.06.04 22:36:43,svchost.exe,960,System,wpad
2016.06.04 22:36:47,svchost.exe,960,System,wpad
2016.06.04 22:36:50,svchost.exe,960,System,wpad
2016.06.04 22:36:52,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:36:53,svchost.exe,960,System,wpad
2016.06.04 22:36:56,svchost.exe,960,System,wpad
2016.06.04 22:36:58,svchost.exe,1132,System,settings-win.data.microsoft.com
2016.06.04 22:37:03,svchost.exe,1132,System,vortex-win.data.microsoft.com
2016.06.04 22:37:03,svchost.exe,960,System,wpad
2016.06.04 22:37:03,svchost.exe,960,System,wpad
2016.06.04 22:37:05,svchost.exe,960,System,wpad
2016.06.04 22:37:08,svchost.exe,960,System,wpad
2016.06.04 22:37:11,svchost.exe,960,System,wpad
2016.06.04 22:37:14,svchost.exe,960,System,wpad
2016.06.04 22:37:17,svchost.exe,960,System,wpad
2016.06.04 22:37:20,svchost.exe,960,System,wpad
2016.06.04 22:37:27,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:38:08,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:38:32,svchost.exe,324,System,crl.microsoft.com
2016.06.04 22:38:32,svchost.exe,324,System,ctldl.windowsupdate.com
2016.06.04 22:38:32,svchost.exe,324,System,www.microsoft.com
2016.06.04 22:38:42,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:39:24,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:40:01,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:40:46,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:41:26,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:41:59,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:42:38,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:43:19,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:43:50,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:44:21,svchost.exe,816,System,teredo.ipv6.microsoft.com
2016.06.04 22:44:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:44:28,svchost.exe,960,System,wpad
2016.06.04 22:44:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:44:28,svchost.exe,816,System,download.windowsupdate.com
2016.06.04 22:44:28,svchost.exe,816,System,download.windowsupdate.com
