HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
akamai.bintray.com,20,AS20940 Akamai International B.V.,US,,
crl.microsoft.com,636,AS20940 Akamai International B.V.,US,,
crl.verisign.com,6,AS7922 Comcast Cable Communications. LLC,US,,
crl3.digicert.com,40,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US,,
crl4.digicert.com,40,AS30081 CacheNetworks. Inc.,US,,
csc3-2010-crl.verisign.com,6,AS7922 Comcast Cable Communications. LLC,US,,
ctldl.windowsupdate.com,148,AS20940 Akamai International B.V.,US,,
dl.bintray.com,20,AS16509 Amazon.com. Inc.,US,,
dmd.metaservices.microsoft.com,6,AS8075 Microsoft Corporation,US,,
download.microsoft.com,1,,,,
download.windowsupdate.com,60,AS8068 Microsoft Corporation,US,,
ds.download.windowsupdate.com,337,AS8068 Microsoft Corporation,US,,
fe2.update.microsoft.com,344,AS8075 Microsoft Corporation,US,,
go.microsoft.com,19,AS20940 Akamai International B.V.,US,,
isatap,51,,,,
ocsp.comodoca.com,18,AS35838 CCANET Limited,GB,,
ocsp.digicert.com,36,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US,,
ocsp.usertrust.com,42,AS35838 CCANET Limited,GB,,
ocsp.verisign.com,18,AS7922 Comcast Cable Communications. LLC,US,,
raw.githubusercontent.com,20,AS54113 Fastly,US,,
s2.symcb.com,6,AS7922 Comcast Cable Communications. LLC,US,,
settings-win.data.microsoft.com,3849,AS8075 Microsoft Corporation,US,,
sv.symcd.com,6,AS7922 Comcast Cable Communications. LLC,US,,
telecommand.telemetry.microsoft.com,246,AS8075 Microsoft Corporation,US,,
teredo.ipv6.microsoft.com,3,AS8075 Microsoft Corporation,US,,
time.windows.com,13,AS8075 Microsoft Corporation,US,,
vortex-win.data.microsoft.com,288,AS8075 Microsoft Corporation,US,,
watson.microsoft.com,13,AS8075 Microsoft Corporation,US,,
wpad,2223,,,,
wscont.apps.microsoft.com.edgesuite.net,18,,,,
www.microsoft.com,430,AS20940 Akamai International B.V.,US,,
