HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
2.18.238.102,4,AS16625 Akamai Technologies. Inc.,EU,2017-11-27,images.outbrain.com
2.18.245.97,2,AS20940 Akamai International B.V.,EU,,
2.18.245.98,7,AS20940 Akamai International B.V.,EU,2015-12-02,golos-ameriki.ru
2.18.245.113,1,AS20940 Akamai International B.V.,EU,,
2.18.245.121,1,AS20940 Akamai International B.V.,EU,,
2.19.56.91,1,AS16625 Akamai Technologies. Inc.,EU,2017-09-27,www.microsoft.com
,,,,2017-09-26,c.s-microsoft.com
2.20.202.119,4,AS16625 Akamai Technologies. Inc.,EU,2017-09-25,c.s-microsoft.com
,,,,2017-09-25,i.s-microsoft.com
,,,,2017-09-06,www.microsoft.com
2.21.84.105,2,AS20940 Akamai International B.V.,EU,,
2.21.84.123,4,AS20940 Akamai International B.V.,EU,,
2.21.84.129,4,AS20940 Akamai International B.V.,EU,,
2.21.84.130,1,AS20940 Akamai International B.V.,EU,,
2.21.84.138,18,AS20940 Akamai International B.V.,EU,2016-08-26,azadliqradiosu.az
2.21.84.144,24,AS20940 Akamai International B.V.,EU,,
2.21.84.146,1,AS20940 Akamai International B.V.,EU,,
2.21.242.213,1,AS20940 Akamai International B.V.,NL,2018-01-11,www.danhonovich.com
,,,,2018-01-11,eaassets-a.akamaihd.net
,,,,2017-12-21,combine.nflcdn.com
,,,,2017-12-21,fast.monster.demdex.net
,,,,2017-12-19,fast.adobe.demdex.net
,,,,2017-12-18,digital.olivesoftware.com
,,,,2017-12-15,a.ligatus.com
,,,,2017-12-07,ocsp.int-x3.letsencrypt.org
,,,,2017-09-19,js.moatads.com
,,,,2017-09-19,edge.sharethis.com
,,,,2017-09-07,crl.microsoft.com
2.22.48.32,1,AS20940 Akamai International B.V.,US,2018-01-03,2.tlu.dl.delivery.mp.microsoft.com
,,,,2018-01-02,i.dailymail.co.uk
,,,,2018-01-02,mlblive-akc.mlb.com
,,,,2017-12-18,i3.cdn-image.com
,,,,2017-12-17,www.dailymail.co.uk
,,,,2017-12-17,customwire.ap.org
,,,,2017-12-07,ustvstaticcdn1-a.akamaihd.net
,,,,2017-12-07,crl.microsoft.com
,,,,2017-12-07,cdn.videoplaza.tv
,,,,2017-09-26,detectportal.firefox.com
,,,,2017-09-26,uhytajrtpo-a.akamaihd.net
,,,,2017-09-26,ardownload.adobe.com
,,,,2017-09-26,photorankapi-a.akamaihd.net
,,,,2015-05-01,a1178.w1.akamai.net
,,,,2015-04-30,a836.w10.akamai.net
,,,,2015-04-29,a546.w10.akamai.net
,,,,2015-04-29,a573.w10.akamai.net
,,,,2015-04-27,a248.w10.akamai.net
,,,,2015-04-23,a570.w10.akamai.net
,,,,2015-04-22,a792.w10.akamai.net
,,,,2015-03-12,a632.w19.akamai.net
,,,,2015-03-10,a186.w23.akamai.net
,,,,2015-03-07,a1116.x.akamai.net.0.1.cn.akamaitech.net
,,,,2015-02-15,a1574.w3.akamai.net.0.1.cn.akamaitech.net
,,,,2015-02-11,a1966.w3.akamai.net
,,,,2015-02-01,a1376.g4.akamai.net
,,,,2015-01-19,a402.w3.akamai.net
,,,,2015-01-17,a1966.w3.akamai.net.0.1.cn.akamaitech.net
