DATE,EXE,PID,ACCOUNT,HOST,ORGANIZATION,COUNTRY
2017-10-16 21:08:16,C:\Windows\System32\svchost.exe,udp,224.0.0.252,5355,llmnr,,
2017-10-16 21:08:43,System,udp,224.0.0.252,137,netbios-ns,,
2017-10-16 21:10:46,C:\Windows\Sysmon.exe,tcp,a23-55-155-27.deploy.static.akamaitechnologies.com,80,http,,
2017-10-16 21:10:46,C:\Windows\Sysmon.exe,tcp,a23-55-149-163.deploy.static.akamaitechnologies.com,80,http,,
2017-10-16 21:36:39,C:\Windows\System32\CompatTelRunner.exe,tcp,65.55.252.190,443,https,AS8075 Microsoft Corporation,US
2017-10-16 21:44:09,C:\Windows\System32\svchost.exe,tcp,40.77.226.249,443,https,AS8075 Microsoft Corporation,IE
2017-10-16 22:46:10,C:\Windows\System32\svchost.exe,tcp,52.178.178.16,443,https,AS8075 Microsoft Corporation,IE
2017-10-16 23:02:02,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.252.71,443,https,AS8075 Microsoft Corporation,US
2017-10-16 23:48:10,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.44.108,443,https,AS8075 Microsoft Corporation,US
2017-10-16 23:48:40,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,93.184.220.29,80,http,AS15133 MCI Communications Services. Inc. d/b/a Verizon Business,US
2017-10-16 23:48:41,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,vip1.ue-anycast1.cachefly.net,80,http,,
2017-10-17 00:50:11,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.178.178.16,443,https,AS8075 Microsoft Corporation,IE
2017-10-17 01:52:11,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,40.77.226.249,443,https,AS8075 Microsoft Corporation,IE
2017-10-17 02:25:17,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,13.107.4.50,80,http,AS8068 Microsoft Corporation,US
2017-10-17 02:25:18,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.234.72.186,443,https,AS8075 Microsoft Corporation,US
2017-10-17 02:25:24,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,40.77.226.250,443,https,AS8075 Microsoft Corporation,IE
2017-10-17 02:50:39,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.125,443,https,AS8075 Microsoft Corporation,US
2017-10-17 04:37:57,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.234.72.188,443,https,AS8075 Microsoft Corporation,US
2017-10-17 22:23:26,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.252.190,443,https,AS8075 Microsoft Corporation,US
2017-10-18 01:57:19,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.165.249,443,https,AS8075 Microsoft Corporation,US
2017-10-18 02:03:02,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.20.202.119,80,http,AS16625 Akamai Technologies. Inc.,EU
2017-10-18 02:50:40,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,66.119.144.158,443,https,AS8075 Microsoft Corporation,US
2017-10-18 22:30:36,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,64.4.54.253,443,https,AS8075 Microsoft Corporation,US
2017-10-19 01:16:42,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,ocsp.comodoca.com,80,http,,
2017-10-19 16:57:31,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.80.58,443,https,AS8075 Microsoft Corporation,US
2017-10-20 01:18:15,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.118,443,https,AS8075 Microsoft Corporation,US
2017-10-20 02:50:42,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.80.60,443,https,AS8075 Microsoft Corporation,US
2017-10-20 05:15:07,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,a173-223-106-200.deploy.static.akamaitechnologies.com,80,http,,
2017-10-20 12:00:34,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,217.212.238.26,80,http,AS1299 Telia Company AB,FR
2017-10-20 13:22:52,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,191.232.80.62,443,https,AS8075 Microsoft Corporation,US
2017-10-21 02:50:43,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.51.190,443,https,AS8075 Microsoft Corporation,US
2017-10-21 09:31:23,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.123,443,https,AS8075 Microsoft Corporation,US
2017-10-21 23:00:07,C:\Windows\System32\svchost.exe,udp,104.45.18.177,123,ntp,AS8075 Microsoft Corporation,NL
