HOST,COUNT
239.255.255.250,43
2.18.213.59,39
2.18.213.73,34
a88-221-117-72.deploy.akamaitechnologies.com,24
a88-221-117-56.deploy.akamaitechnologies.com,22
a92-122-51-74.deploy.akamaitechnologies.com,20
a104-101-165-168.deploy.static.akamaitechnologies.com,17
a184-87-220-165.deploy.static.akamaitechnologies.com,16
a23-74-86-135.deploy.static.akamaitechnologies.com,12
2.18.212.11,12
a92-122-51-80.deploy.akamaitechnologies.com,11
a23-64-21-71.deploy.static.akamaitechnologies.com,10
a23-214-141-237.deploy.static.akamaitechnologies.com,10
65.158.47.113,10
2.19.182.135,7
2.18.213.81,7
a23-195-69-11.deploy.static.akamaitechnologies.com,7
a23-35-118-135.deploy.static.akamaitechnologies.com,7
a23-214-64-233.deploy.static.akamaitechnologies.com,6
a23-33-68-131.deploy.static.akamaitechnologies.com,6
a23-211-145-23.deploy.static.akamaitechnologies.com,6
msnbot-65-52-108-153.search.msn.com,6
msnbot-207-46-194-14.search.msn.com,6
a184-87-220-86.deploy.static.akamaitechnologies.com,5
a92-122-51-59.deploy.akamaitechnologies.com,5
a92-122-51-50.deploy.akamaitechnologies.com,5
a104-101-181-183.deploy.static.akamaitechnologies.com,4
a23-64-21-225.deploy.static.akamaitechnologies.com,4
a23-65-37-164.deploy.static.akamaitechnologies.com,4
134.170.30.204,3
a23-214-150-169.deploy.static.akamaitechnologies.com,3
131.253.61.100,3
131.253.61.66,3
a23-213-143-70.deploy.static.akamaitechnologies.com,3
157.55.240.126,3
a23-211-173-218.deploy.static.akamaitechnologies.com,3
2.18.213.201,3
65.55.252.93,3
65.55.138.114,3
a92-122-51-57.deploy.akamaitechnologies.com,3
157.56.194.73,3
134.170.115.62,3
ocsp.comodoca.com,3
a173-223-169-167.deploy.static.akamaitechnologies.com,2
2.19.53.152,2
23.98.49.14,2
2.18.212.161,2
93.184.220.20,2
65.52.108.59,2
a23-65-44-170.deploy.static.akamaitechnologies.com,2
a23-195-51-28.deploy.static.akamaitechnologies.com,2
2.18.213.82,2
a184-50-214-14.deploy.static.akamaitechnologies.com,2
198.41.215.183,2
a104-111-238-232.deploy.static.akamaitechnologies.com,2
157.55.133.204,2
2.23.44.185,2
a-0001.a-msedge.net,2
2.18.213.27,2
65.55.252.190,2
2.18.213.32,2
a104-101-175-67.deploy.static.akamaitechnologies.com,2
157.56.77.138,2
a104-96-8-236.deploy.static.akamaitechnologies.com,2
a23-214-105-44.deploy.static.akamaitechnologies.com,2
a23-33-9-208.deploy.static.akamaitechnologies.com,2
a184-87-220-153.deploy.static.akamaitechnologies.com,2
2.18.212.74,2
23.99.49.121,2
134.170.58.189,2
191.232.139.253,2
137.117.235.16,2
a23-214-143-15.deploy.static.akamaitechnologies.com,1
224.0.0.252,1
msnbot-65-52-108-29.search.msn.com,1
a92-122-163-125.deploy.akamaitechnologies.com,1
a104-94-111-44.deploy.static.akamaitechnologies.com,1
msnbot-64-4-54-22.search.msn.com,1
a92-122-152-223.deploy.akamaitechnologies.com,1
eu.vortex.data.microsoft.com,1
a104-94-163-2.deploy.static.akamaitechnologies.com,1
a23-206-166-70.deploy.static.akamaitechnologies.com,1
a23-2-118-135.deploy.static.akamaitechnologies.com,1
a23-206-187-4.deploy.static.akamaitechnologies.com,1
a104-101-178-203.deploy.static.akamaitechnologies.com,1
a23-74-125-199.deploy.static.akamaitechnologies.com,1
a23-214-142-8.deploy.static.akamaitechnologies.com,1
a104-69-55-114.deploy.static.akamaitechnologies.com,1
a95-101-39-50.deploy.akamaitechnologies.com,1
