DATE,EXE,PROTOCOL,HOST,PORT,PORT_NAME,ORGANIZATION,COUNTRY
2018-04-07 21:49:56,System,udp,169.254.44.239,137,netbios-ns,,
2018-04-07 21:49:59,System,udp,169.254.44.239,138,netbios-dgm,,
2018-04-07 21:50:53,C:\Windows\explorer.exe,tcp,2.18.236.37,80,http,AS16625 Akamai Technologies. Inc.,EU
2018-04-07 21:50:53,C:\Windows\explorer.exe,tcp,2.18.237.129,80,http,AS16625 Akamai Technologies. Inc.,EU
2018-04-07 21:50:53,C:\Windows\explorer.exe,tcp,2.18.245.80,80,http,AS20940 Akamai International B.V.,EU
2018-04-07 21:50:53,C:\Windows\System32\svchost.exe,tcp,52.178.147.240,80,http,AS8075 Microsoft Corporation,IE
2018-04-07 21:58:50,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.56.194.72,80,http,AS8075 Microsoft Corporation,IE
2018-04-07 21:58:50,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.56.194.72,443,https,AS8075 Microsoft Corporation,IE
2018-04-07 22:00:44,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.18.236.37,80,http,AS16625 Akamai Technologies. Inc.,EU
2018-04-07 22:00:44,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.18.245.80,80,http,AS20940 Akamai International B.V.,EU
2018-04-07 22:00:44,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.18.237.129,80,http,AS16625 Akamai Technologies. Inc.,EU
2018-04-07 22:01:25,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,52.138.148.87,443,https,AS8075 Microsoft Corporation,IE
2018-04-08 02:04:11,C:\Windows\System32\svchost.exe,tcp,52.138.148.159,80,http,AS8075 Microsoft Corporation,IE
2018-04-08 02:08:39,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,52.166.110.64,443,https,AS8075 Microsoft Corporation,NL
2018-04-08 02:55:36,C:\Windows\System32\svchost.exe,tcp,131.253.61.100,80,http,AS8075 Microsoft Corporation,US
2018-04-08 02:55:36,C:\Windows\System32\svchost.exe,tcp,131.253.61.100,443,https,AS8075 Microsoft Corporation,US
2018-04-08 02:55:37,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,52.232.16.77,443,https,AS8075 Microsoft Corporation,NL
2018-04-08 03:06:06,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,13.74.179.117,443,https,AS8075 Microsoft Corporation,IE
2018-04-08 03:06:07,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.51.190,443,https,AS8075 Microsoft Corporation,US
2018-04-08 03:06:07,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.55.240.126,443,https,AS8075 Microsoft Corporation,US
2018-04-08 03:06:24,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,13.107.4.50,80,http,AS8068 Microsoft Corporation,US
2018-04-08 03:07:43,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.18.245.83,80,http,AS20940 Akamai International B.V.,EU
2018-04-08 03:07:46,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.178.147.240,80,http,AS8075 Microsoft Corporation,IE
2018-04-08 03:15:13,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.183.118.171,80,http,AS8075 Microsoft Corporation,US
2018-04-08 03:15:27,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.183.47.176,80,http,AS8075 Microsoft Corporation,US
2018-04-08 18:11:42,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.30.202,80,http,AS8075 Microsoft Corporation,US
2018-04-08 18:11:43,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.30.202,443,https,AS8075 Microsoft Corporation,US
2018-04-08 22:09:30,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.165.248,443,https,AS8075 Microsoft Corporation,US
2018-04-08 23:07:03,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.125,443,https,AS8075 Microsoft Corporation,US
2018-04-08 23:07:03,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.138.158,443,https,AS8075 Microsoft Corporation,US
2018-04-09 00:47:52,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,52.233.199.249,443,https,AS8075 Microsoft Corporation,NL
2018-04-09 18:10:24,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,13.78.168.230,443,https,AS8075 Microsoft Corporation,US
2018-04-09 18:10:26,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.51.247,443,https,AS8075 Microsoft Corporation,US
2018-04-09 18:10:26,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.56.96.157,443,https,AS8075 Microsoft Corporation,US
2018-04-09 22:22:55,C:\Windows\System32\svchost.exe,tcp,131.253.61.68,80,http,AS8075 Microsoft Corporation,US
2018-04-09 22:22:55,C:\Windows\System32\svchost.exe,tcp,131.253.61.68,443,https,AS8075 Microsoft Corporation,US
2018-04-10 00:11:27,C:\Windows\System32\svchost.exe,udp,13.79.239.69,123,ntp,AS8075 Microsoft Corporation,IE
2018-04-10 00:12:01,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,52.169.71.150,443,https,AS8075 Microsoft Corporation,IE
2018-04-10 10:51:33,C:\Windows\System32\svchost.exe,udp,169.254.127.28,52460,,,
2018-04-10 10:51:34,System,udp,169.254.127.28,137,netbios-ns,,
2018-04-10 12:33:06,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-178-79-212-242.arn1.llnw.net,80,http,,
2018-04-10 12:33:06,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds812.lon.llnw.net,80,http,,
2018-04-10 22:12:55,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,131.253.61.100,443,https,AS8075 Microsoft Corporation,US
2018-04-10 22:22:55,C:\Windows\System32\svchost.exe,tcp,131.253.61.84,80,http,AS8075 Microsoft Corporation,US
2018-04-10 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.84,443,https,AS8075 Microsoft Corporation,US
2018-04-11 02:02:18,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,52.164.240.59,80,http,AS8075 Microsoft Corporation,IE
2018-04-11 02:02:20,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,2.18.237.143,80,http,AS16625 Akamai Technologies. Inc.,EU
2018-04-11 02:02:26,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,ocsp.comodoca.com,80,http,,
2018-04-11 02:06:15,C:\Program Files\Windows Defender\MpCmdRun.exe,tcp,52.178.163.85,443,https,AS8075 Microsoft Corporation,IE
2018-04-11 03:06:54,C:\Windows\System32\svchost.exe,udp,51.141.32.51,123,ntp,AS8075 Microsoft Corporation,GB
2018-04-11 07:55:39,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,13.68.93.109,443,https,AS8075 Microsoft Corporation,US
2018-04-12 03:57:38,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,23.103.189.158,443,https,AS8075 Microsoft Corporation,US
2018-04-13 01:44:13,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,23.103.189.157,443,https,AS8075 Microsoft Corporation,US
2018-04-13 01:44:15,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.242.254,443,https,AS8075 Microsoft Corporation,US
2018-04-13 22:12:57,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,131.253.61.64,443,https,AS8075 Microsoft Corporation,US
2018-04-13 22:20:29,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,157.56.96.123,443,https,AS8075 Microsoft Corporation,US
2018-04-13 22:22:55,C:\Windows\System32\svchost.exe,tcp,131.253.61.86,80,http,AS8075 Microsoft Corporation,US
2018-04-13 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.86,443,https,AS8075 Microsoft Corporation,US
2018-04-14 22:22:55,C:\Windows\System32\svchost.exe,tcp,131.253.61.64,80,http,AS8075 Microsoft Corporation,US
2018-04-14 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.64,443,https,AS8075 Microsoft Corporation,US
2018-04-14 22:47:57,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.189,443,https,AS8075 Microsoft Corporation,US
2018-04-15 15:22:11,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,https-178-79-251-159.lcy.llnw.net,80,http,,
2018-04-15 15:22:11,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,cds21207.lon.llnw.net,80,http,,
2018-04-15 15:37:20,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,65.55.163.221,443,https,AS8075 Microsoft Corporation,US
2018-04-15 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.98,80,http,AS8075 Microsoft Corporation,US
2018-04-15 22:22:56,C:\Windows\System32\svchost.exe,tcp,131.253.61.98,443,https,AS8075 Microsoft Corporation,US
2018-04-16 11:05:10,C:\Program Files (x86)\Proxifier\Proxifier.exe,tcp,134.170.58.118,443,https,AS8075 Microsoft Corporation,US
