HOST,COUNT,ORGANIZATION,COUNTRY,RESOLVED DATE,RESOLVED DOMAIN
2.16.4.187,47,AS20940 Akamai International B.V.,EU,,a2-16-4-187.deploy.akamaitechnologies.com
,,,,2017-02-10,frigidaire.com
2.16.4.195,17324,AS20940 Akamai International B.V.,EU,,a2-16-4-195.deploy.akamaitechnologies.com
2.16.4.216,9690,AS20940 Akamai International B.V.,EU,,a2-16-4-216.deploy.akamaitechnologies.com
,,,,2016-04-05,au.v4.download.windowsupdate.com
,,,,2016-02-17,moversadvantage.com
2.16.4.225,12976,AS20940 Akamai International B.V.,EU,,a2-16-4-225.deploy.akamaitechnologies.com
,,,,2017-02-14,vistaprint.fi
,,,,2016-10-07,somalivoa.com
,,,,2016-07-19,dengeamerika.com
,,,,2016-06-27,vitacoss.com
,,,,2016-06-23,azattyq.org
,,,,2016-06-23,azadliq.org
,,,,2016-06-03,voaswahili.com
,,,,2016-06-03,radiomarsho.mobi
,,,,2016-05-27,ozodlik.mobi
,,,,2016-05-19,insidevoa.com
,,,,2016-04-30,slobodnaevropa.org
,,,,2016-04-11,azadiradio.mobi
,,,,2016-03-04,voatibetan.com
,,,,2016-02-19,voapashto.org
,,,,2016-02-06,voahausa.com
,,,,2016-02-03,voatiengviet.com
,,,,2016-01-31,kurapaty1988.org
,,,,2016-01-29,amerikaninsesi.org
,,,,2016-01-24,martinews.com
,,,,2015-12-11,studio7news.com
2.17.20.139,20,AS20940 Akamai International B.V.,DE,,
2.17.20.191,52,AS20940 Akamai International B.V.,DE,,
2.17.22.235,7,AS20940 Akamai International B.V.,DE,,
2.18.212.131,13214,AS20940 Akamai International B.V.,EU,2016-03-26,wl.dlservice.microsoft.com
2.18.213.42,66,AS20940 Akamai International B.V.,EU,2016-03-26,a767.dspw65.akamai.net
,,,,2016-03-25,fg.v4.download.windowsupdate.com
2.18.213.48,103,AS20940 Akamai International B.V.,EU,2016-06-09,wsus.ds.download.windowsupdate.com
2.22.113.73,10,AS20940 Akamai International B.V.,GB,,
8.253.82.62,1803,AS3356 Level 3 Communications. Inc.,US,,
8.253.93.237,67,AS3356 Level 3 Communications. Inc.,US,,
13.79.154.18,2,AS8075 Microsoft Corporation,IE,,
13.81.59.242,19,AS8075 Microsoft Corporation,NL,,
13.81.122.66,255,AS8075 Microsoft Corporation,NL,,
13.107.4.50,195549,AS8068 Microsoft Corporation,US,2017-03-04,fg.v4.www.download.windowsupdate.com
,,,,2017-03-04,au.v4.b1.download.windowsupdate.com
,,,,2017-03-04,au.download.windowsupdate.com
,,,,2017-03-04,b1fgv4.c-0001.c-msedge.net
,,,,2017-03-04,fg.v4.b1.dl.windowsupdate.com.nsatc.net
